beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Staatsministerin für Kultur und Medien,LAND,11,1962,w,2,Grütters,0,0,Monika,J,Z,0,11.0,,CDU/CSU
MdB,LAND,3,1966,m,2,Güntzler,0,0,Fritz,J,Z,0,3.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,278,1970,m,2,Gutting,0,0,Olav,J,E,Bruchsal – Schwetzingen,8.0,,CDU/CSU
Rechtsanwalt,WAHLKREIS,84,1948,m,34,Gysi,0,Dr.,Gregor,J,E,Berlin-Treptow-Köpenick,11.0,,Die Linke
Dipl.-Verwaltungswirt,WAHLKREIS,136,1966,m,2,Haase,0,0,Christian,J,E,Höxter – Lippe II,5.0,,CDU/CSU
Dipl.-Kaufmann,LAND,9,1967,m,4,Hacker,0,0,Thomas,N,Z,0,9.0,,FDP
MdB / Goldschmiedin,LAND,1,1955,w,1,Hagedorn,0,0,Bettina,J,Z,0,1.0,,SPD
MdB / Studienrätin,LAND,9,1970,w,1,Hagl-Kehl,0,0,Rita,J,Z,0,9.0,,SPD
MdB,LAND,14,1963,m,34,Hahn,0,Dr.,André,J,Z,0,14.0,,Die Linke
MdB,WAHLKREIS,221,1974,m,3,Hahn,0,0,Florian Peter,J,E,München-Land,9.0,,CDU/CSU
Dipl.-Psychologin,LAND,2,1963,w,5,Hajduk,0,0,Anja Margarete Helene,J,Z,0,2.0,,Grüne
Volljurist,WAHLKREIS,23,1969,m,1,Hakverdi,0,0,Metin,J,E,Hamburg-Bergedorf – Harburg,2.0,,SPD
Journalist,LAND,3,1957,m,35,Hampel,0,0,Armin-Paulus,N,Z,0,3.0,,AfD
MdB,LAND,8,1966,w,34,Hänsel,0,0,Heike,J,Z,0,8.0,,Die Linke
MdB / Rechtsanwalt,WAHLKREIS,277,1971,m,2,Harbarth,0,Dr.,Stephan,J,E,Rhein-Neckar,8.0,,CDU/CSU
Rechtsanwältin,LAND,6,1974,w,35,Harder-Kühnel,0,0,Mariana Iris,N,Z,0,6.0,,AfD
MdB / Dipl.-Volkswirt,WAHLKREIS,103,1963,m,2,Hardt,0,0,Jürgen,J,E,Solingen – Remscheid – Wuppertal II,5.0,,CDU/CSU
MdB,LAND,5,1977,m,1,Hartmann,0,0,Sebastian,J,Z,0,5.0,,SPD
Dipl.-Kommunikationswirtin,LAND,14,1974,w,35,Hartmann,0,0,Verena,N,Z,0,14.0,,AfD
Rechtsanwalt,LAND,5,1954,m,35,Hartwig,0,Dr.,Roland,N,Z,0,5.0,,AfD
Dipl.-Sozialarbeiterin,LAND,5,1961,w,5,Haßelmann,0,0,Britta,J,Z,0,5.0,,Grüne
MdB / Rechtsanwalt,WAHLKREIS,120,1977,m,2,Hauer,0,0,Matthias,J,E,Essen III,5.0,,CDU/CSU
Rechtsanwalt,LAND,5,1973,m,35,Haug,0,0,Jochen,N,Z,0,5.0,,AfD
MdB / Politikwissenschaftler,WAHLKREIS,196,1984,m,2,Hauptmann,0,0,Mark,J,E,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,16.0,,CDU/CSU
IT-Unternehmensberater,LAND,9,1959,m,35,Hebner,0,0,Martin,N,Z,0,9.0,,AfD
Geschäftsführer,WAHLKREIS,119,1961,m,1,Heidenblut,0,0,Dirk,J,E,Essen II,5.0,,SPD
Rechtsanwalt,WAHLKREIS,149,1966,m,2,Heider,0,Dr.,Matthias,J,E,Olpe – Märkischer Kreis I,5.0,,CDU/CSU
MdB / Politikwissenschaftler,WAHLKREIS,45,1972,m,1,Heil,0,0,Hubertus,J,E,Gifhorn – Peine,3.0,,SPD
